# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
NCU00003	NCU00003	NCU00003-t26_1	protein_coding	0	6	9	125	0	0	14	69	0	4	9	0	0	0	0	0	0	0	0	6	38
NCU00004	NCU00004	NCU00004-t26_1	protein_coding	0	12	1	152	8	0	1	75	0	0	1	0	0	0	0	0	0	0	0	12	68
NCU00005	NCU00005	NCU00005-t26_1	protein_coding	0	32	4	150	3	2	9	68	0	0	4	0	0	0	0	0	0	0	0	30	70
NCU00006	NCU00006	NCU00006-t26_1	protein_coding	0	20	9	186	11	3	14	75	0	20	9	0	0	0	0	0	0	0	0	17	66
NCU00006	NCU00006	NCU00006-t26_2	protein_coding	0	19	9	166	11	0	7	75	0	8	9	0	0	0	0	0	0	0	0	19	65
NCU00007	NCU00007	NCU00007-t26_1	protein_coding	0	26	9	145	4	0	9	66	0	0	9	0	0	0	0	0	0	0	0	26	66
NCU00008	NCU00008	NCU00008-t26_1	protein_coding	0	14	4	137	16	0	1	59	0	1	4	0	0	0	0	0	0	0	0	14	60
NCU00009	NCU00009	NCU00009-t26_1	protein_coding	1	1	0	122	0	0	0	68	0	2	0	0	1	0	0	0	0	0	0	1	53
NCU00010	NCU00010	NCU00010-t26_1	protein_coding	0	27	8	146	18	1	5	66	0	3	8	0	0	0	1	0	0	0	0	25	55
NCU00011	NCU00011	NCU00011-t26_1	protein_coding	0	0	3	122	0	0	0	45	0	0	3	0	0	0	0	0	0	0	0	0	77
NCU00013	NCU00013	NCU00013-t26_1	protein_coding	1	0	4	131	0	0	0	76	0	5	4	0	0	0	0	1	0	0	0	0	50
NCU00014	NCU00014	NCU00014-t26_1	protein_coding	0	6	1	102	11	1	2	25	0	0	1	0	0	0	0	0	0	0	0	5	64
NCU00015	NCU00015	NCU00015-t26_1	protein_coding	0	9	0	72	5	0	5	54	0	0	0	0	0	0	0	0	0	0	0	9	8
NCU00017	NCU00017	NCU00017-t26_1	protein_coding	0	27	15	77	2	0	1	5	0	3	15	0	0	0	0	0	0	0	0	27	66
NCU00018	NCU00018	NCU00018-t26_1	protein_coding	0	31	0	118	5	0	6	52	0	3	0	0	0	0	2	0	0	0	0	29	54
NCU00018	NCU00018	NCU00018-t26_2	protein_coding	0	32	0	115	5	0	3	50	0	3	0	0	0	0	3	0	0	0	0	29	56
NCU00019	NCU00019	NCU00019-t26_1	protein_coding	0	13	5	124	18	1	5	54	0	0	5	0	0	0	0	0	0	0	0	12	47
NCU00021	NCU00021	NCU00021-t26_1	protein_coding	0	35	6	141	4	1	4	46	0	9	6	0	0	0	0	0	0	0	0	34	78
NCU00022	NCU00022	NCU00022-t26_1	protein_coding	0	24	23	153	4	0	5	83	0	0	23	0	0	0	0	0	0	0	0	24	61
NCU00023	NCU00023	NCU00023-t26_1	protein_coding	0	32	7	163	1	0	11	75	0	0	7	0	0	0	0	0	0	0	0	32	76
NCU00024	NCU00024	NCU00024-t26_1	protein_coding	0	8	4	174	11	1	5	65	0	10	4	0	0	0	2	0	0	0	0	5	85
NCU00024	NCU00024	NCU00024-t26_2	protein_coding	0	10	4	176	11	5	13	65	0	2	4	0	0	0	0	0	0	0	0	5	85
NCU00025	NCU00025	NCU00025-t26_1	protein_coding	0	18	2	158	3	1	5	79	0	5	2	0	0	0	0	0	0	0	0	17	66
NCU00026	NCU00026	NCU00026-t26_1	protein_coding	0	16	4	158	5	3	7	67	0	0	4	0	0	0	0	0	0	0	0	13	79
NCU00027	NCU00027	NCU00027-t26_1	protein_coding	0	10	3	156	20	0	0	70	0	0	3	0	0	0	0	0	0	0	0	10	66
NCU00028	NCU00028	NCU00028-t26_1	protein_coding	0	14	2	164	18	1	5	64	0	15	2	0	0	0	3	0	0	0	0	10	65
NCU00028	NCU00028	NCU00028-t26_2	protein_coding	0	17	2	161	13	0	10	65	0	8	2	0	0	0	4	0	0	0	0	13	69
NCU00029	NCU00029	NCU00029-t26_1	protein_coding	0	18	1	163	9	0	12	74	0	4	1	0	0	0	0	0	0	0	0	18	64
NCU00030	NCU00030	NCU00030-t26_1	protein_coding	0	11	4	143	6	0	0	63	0	0	4	0	0	0	0	0	0	0	0	11	74
NCU00031	NCU00031	NCU00031-t26_1	protein_coding	0	4	2	137	6	0	2	63	0	4	2	0	0	0	0	0	0	0	0	4	62
NCU00032	NCU00032	NCU00032-t26_1	protein_coding	0	18	8	155	17	1	3	62	0	0	8	0	0	0	0	0	0	0	0	17	73
NCU00033	NCU00033	NCU00033-t26_1	protein_coding	0	5	0	132	8	0	4	60	0	2	0	0	0	0	0	0	0	0	0	5	58
NCU00034	NCU00034	NCU00034-t26_1	protein_coding	0	11	5	134	2	1	2	60	0	1	5	0	0	0	1	0	0	0	0	10	69
NCU00034	NCU00034	NCU00034-t26_2	protein_coding	0	9	5	128	2	0	2	57	0	0	5	0	0	0	0	0	0	0	0	9	67
NCU00035	NCU00035	NCU00035-t26_1	protein_coding	0	23	4	134	3	0	1	68	0	6	4	0	0	0	1	0	0	0	0	22	57
NCU00035	NCU00035	NCU00035-t26_2	protein_coding	0	24	4	134	3	1	4	68	0	3	4	0	0	0	1	0	0	0	0	22	57
NCU00037	NCU00037	NCU00037-t26_1	protein_coding	0	22	3	139	5	0	1	62	0	8	3	0	0	0	0	0	0	0	0	22	63
NCU00037	NCU00037	NCU00037-t26_2	protein_coding	0	23	4	137	5	0	3	62	0	4	4	0	0	0	0	0	0	0	0	23	63
NCU00038	NCU00038	NCU00038-t26_1	protein_coding	0	16	2	131	0	0	0	57	0	1	2	0	0	0	0	0	0	0	0	16	73
NCU00039	NCU00039	NCU00039-t26_1	protein_coding	0	23	13	114	0	1	9	62	0	0	13	0	0	0	0	0	0	0	0	22	43
NCU00040	NCU00040	NCU00040-t26_1	protein_coding	0	35	0	135	3	0	6	59	0	2	0	0	0	0	0	0	0	0	0	35	65
NCU00041	NCU00041	NCU00041-t26_1	protein_coding	0	4	0	136	9	0	4	58	0	11	0	0	0	0	3	0	0	0	0	1	56
NCU00042	NCU00042	NCU00042-t26_1	protein_coding	0	6	3	114	8	0	4	46	0	1	3	0	0	0	0	0	0	0	0	6	55
NCU00043	NCU00043	NCU00043-t26_1	protein_coding	0	8	0	135	8	0	8	67	0	14	0	0	0	0	4	0	0	0	0	4	42
NCU00045	NCU00045	NCU00045-t26_1	protein_coding	0	31	10	128	0	1	4	42	0	3	10	0	0	0	2	0	0	0	0	28	81
NCU00046	NCU00046	NCU00046-t26_1	protein_coding	0	40	7	135	17	0	4	57	0	7	7	0	0	0	1	0	0	0	0	39	51
NCU00046	NCU00046	NCU00046-t26_2	protein_coding	0	41	7	123	17	1	6	57	0	1	7	0	0	0	1	0	0	0	0	39	43
NCU00047	NCU00047	NCU00047-t26_1	protein_coding	0	0	1	130	0	0	0	50	0	4	1	0	0	0	0	0	0	0	0	0	76
NCU00048	NCU00048	NCU00048-t26_1	protein_coding	1	0	1	118	0	0	0	64	0	12	1	0	0	0	2	0	0	1	0	0	42
NCU00050	NCU00050	NCU00050-t26_1	protein_coding	0	12	6	140	8	2	8	65	0	2	6	0	0	0	0	0	0	0	0	10	57
NCU00051	NCU00051	NCU00051-t26_1	protein_coding	0	10	7	132	2	0	5	60	0	0	7	0	0	0	0	0	0	0	0	10	65
NCU00052	NCU00052	NCU00052-t26_1	protein_coding	0	17	8	106	2	0	0	64	0	0	8	0	0	0	0	0	0	0	0	17	40
NCU00054	NCU00054	NCU00054-t26_1	protein_coding	0	30	9	94	0	0	3	49	0	4	9	0	0	0	1	0	0	0	0	29	39
NCU00055	NCU00055	NCU00055-t26_1	protein_coding	0	8	6	130	1	0	1	72	0	0	6	0	0	0	0	0	0	0	0	8	56
NCU00056	NCU00056	NCU00056-t26_1	protein_coding	0	13	6	133	3	1	4	68	0	1	6	0	0	0	1	0	0	0	0	11	58
NCU00057	NCU00057	NCU00057-t26_1	protein_coding	0	5	7	142	7	0	2	66	0	0	7	0	0	0	0	0	0	0	0	5	67
NCU00059	NCU00059	NCU00059-t26_1	protein_coding	0	32	19	125	0	2	6	54	0	0	19	0	0	0	0	0	0	0	1	29	65
NCU00060	NCU00060	NCU00060-t26_1	protein_coding	0	11	4	144	2	0	0	75	0	1	4	0	0	0	0	0	0	0	0	11	66
NCU00060	NCU00060	NCU00060-t26_2	protein_coding	0	11	4	144	2	0	0	75	0	1	4	0	0	0	0	0	0	0	0	11	66
NCU00060	NCU00060	NCU00060-t26_3	protein_coding	0	11	4	144	2	0	1	75	0	0	4	0	0	0	0	0	0	0	0	11	66
NCU00061	NCU00061	NCU00061-t26_1	protein_coding	0	21	7	148	4	4	23	74	0	0	7	0	0	0	1	0	0	0	0	16	47
NCU00064	NCU00064	NCU00064-t26_1	protein_coding	0	20	5	203	18	3	19	76	0	11	5	0	0	0	1	0	0	0	0	16	80
NCU00065	NCU00065	NCU00065-t26_1	protein_coding	0	24	9	136	3	0	1	65	0	1	9	0	0	0	0	0	0	0	0	24	66
NCU00066	NCU00066	NCU00066-t26_1	protein_coding	0	27	9	167	5	0	3	77	0	0	9	0	0	0	0	0	0	0	0	27	82
NCU00067	NCU00067	NCU00067-t26_1	protein_coding	0	3	0	161	14	1	2	77	0	1	0	0	0	0	0	0	0	0	0	2	67
NCU00068	NCU00068	NCU00068-t26_1	protein_coding	0	45	12	156	11	1	11	60	0	3	12	0	0	0	2	0	0	0	0	42	71
NCU00068	NCU00068	NCU00068-t26_2	protein_coding	0	45	12	156	11	1	11	60	0	3	12	0	0	0	2	0	0	0	0	42	71
NCU00069	NCU00069	NCU00069-t26_1	protein_coding	0	3	3	150	2	0	2	67	0	3	3	0	0	0	0	0	0	0	0	3	76
NCU00070	NCU00070	NCU00070-t26_1	protein_coding	0	28	3	154	12	2	4	68	0	1	3	0	0	0	0	0	0	0	0	26	69
NCU00071	NCU00071	NCU00071-t26_1	protein_coding	1	5	6	133	0	0	0	59	0	4	6	0	0	0	2	0	1	0	0	4	71
NCU00072	NCU00072	NCU00072-t26_1	protein_coding	0	13	2	157	5	1	6	64	0	2	2	0	0	0	1	0	0	0	0	11	81
NCU00073	NCU00073	NCU00073-t26_1	protein_coding	0	16	6	174	7	1	13	73	0	2	6	0	0	0	0	0	0	0	0	15	79
NCU00074	NCU00074	NCU00074-t26_1	protein_coding	0	2	3	175	15	0	5	78	0	2	3	0	0	0	1	0	0	0	0	1	76
NCU00075	NCU00075	NCU00075-t26_1	protein_coding	0	6	0	175	7	0	3	89	0	3	0	0	0	0	0	0	0	0	1	5	73
NCU00076	NCU00076	NCU00076-t26_1	protein_coding	0	23	17	163	6	1	6	71	0	7	17	0	0	0	1	0	0	0	0	21	74
NCU00076	NCU00076	NCU00076-t26_2	protein_coding	0	17	10	177	6	2	20	71	0	7	10	0	0	0	1	0	0	0	0	14	74
NCU00077	NCU00077	NCU00077-t26_1	protein_coding	0	28	8	181	10	0	1	79	0	8	8	0	0	0	3	0	0	0	0	26	85
NCU00078	NCU00078	NCU00078-t26_1	protein_coding	0	6	2	195	39	0	2	70	0	4	2	0	0	0	1	0	0	0	0	5	81
NCU00079	NCU00079	NCU00079-t26_1	protein_coding	0	14	3	172	8	3	18	76	0	0	3	0	0	0	0	0	0	0	0	11	70
NCU00080	NCU00080	NCU00080-t26_1	protein_coding	0	9	3	148	11	0	2	80	0	1	3	0	0	0	1	0	0	0	0	8	55
NCU00081	NCU00081	NCU00081-t26_1	protein_coding	0	23	8	143	8	0	5	46	0	2	8	0	0	0	1	0	0	0	0	22	83
NCU00082	NCU00082	NCU00082-t26_1	protein_coding	0	2	5	113	0	0	0	54	0	2	5	0	0	0	1	0	0	0	0	2	57
NCU00083	NCU00083	NCU00083-t26_1	protein_coding	0	7	3	129	19	0	0	56	0	6	3	0	0	0	0	0	0	0	0	7	48
NCU00084	NCU00084	NCU00084-t26_1	protein_coding	0	7	13	156	1	0	0	63	0	19	13	0	0	0	0	0	0	0	0	7	73
NCU00085	NCU00085	NCU00085-t26_1	protein_coding	0	22	18	182	7	1	10	64	0	0	18	0	0	0	0	0	0	0	0	21	101
NCU00086	NCU00086	NCU00086-t26_1	protein_coding	0	15	6	165	0	0	0	61	0	2	6	0	0	0	1	0	0	0	0	14	103
NCU00087	NCU00087	NCU00087-t26_1	protein_coding	0	7	0	178	8	0	4	108	0	0	0	0	0	0	0	0	0	0	0	7	58
NCU00088	NCU00088	NCU00088-t26_1	protein_coding	0	7	2	145	3	0	4	75	0	1	2	0	0	0	0	0	0	0	0	7	62
NCU00089	NCU00089	NCU00089-t26_1	protein_coding	0	20	4	143	6	1	10	63	0	2	4	0	0	0	0	0	0	0	1	18	62
NCU00089	NCU00089	NCU00089-t26_2	protein_coding	0	20	4	143	6	1	12	63	0	0	4	0	0	0	0	0	0	0	1	18	62
NCU00089	NCU00089	NCU00089-t26_3	protein_coding	0	20	4	143	6	1	12	63	0	0	4	0	0	0	0	0	0	0	1	18	62
NCU00089	NCU00089	NCU00089-t26_4	protein_coding	0	20	4	143	6	1	12	63	0	0	4	0	0	0	0	0	0	0	1	18	62
NCU00090	NCU00090	NCU00090-t26_1	protein_coding	0	16	0	141	12	0	3	74	0	3	0	0	0	0	0	0	0	0	0	16	49
NCU00091	NCU00091	NCU00091-t26_1	protein_coding	0	33	3	137	1	0	5	50	0	5	3	0	0	0	2	0	0	0	0	31	78
NCU00091	NCU00091	NCU00091-t26_2	protein_coding	0	33	3	134	0	0	5	48	0	5	3	0	0	0	2	0	0	0	0	31	78
NCU00092	NCU00092	NCU00092-t26_1	protein_coding	0	5	1	134	4	0	2	73	0	1	1	0	0	0	1	0	0	0	0	4	55
NCU00093	NCU00093	NCU00093-t26_1	protein_coding	0	3	4	136	3	0	2	67	0	0	4	0	0	0	0	0	0	0	0	3	64
NCU00095	NCU00095	NCU00095-t26_1	protein_coding	0	38	4	183	11	0	3	92	0	0	4	0	0	0	0	0	0	0	0	38	77
NCU00096	NCU00096	NCU00096-t26_1	protein_coding	0	3	12	163	0	0	0	76	0	25	12	0	0	0	0	0	0	0	0	3	62
NCU00097	NCU00097	NCU00097-t26_1	protein_coding	0	7	2	151	0	0	0	98	0	0	2	0	0	0	0	0	0	0	0	7	53
NCU00099	NCU00099	NCU00099-t26_1	protein_coding	0	3	1	128	0	0	0	52	0	3	1	0	0	0	1	0	0	0	0	2	74
